autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA16,Río Mapocho - 14 de la Fama,4.09,categoria_2,TBFP,821.83
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA16,Río Mapocho - 14 de la Fama,4.09,categoria_2,TBP,1643.67
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA16,Río Mapocho - 14 de la Fama,4.09,categoria_3,TBFP,1232.75
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA16,Río Mapocho - 14 de la Fama,4.09,categoria_3,TBP,2465.5
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA17,14 de la Fama - A.Vespucio Norte,4.45,categoria_1y4,TBFP,447.08
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA17,14 de la Fama - A.Vespucio Norte,4.45,categoria_1y4,TBP,894.17
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA17,14 de la Fama - A.Vespucio Norte,4.45,categoria_2,TBFP,894.17
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA17,14 de la Fama - A.Vespucio Norte,4.45,categoria_2,TBP,1788.34
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA17,14 de la Fama - A.Vespucio Norte,4.45,categoria_3,TBFP,1341.26
Autopista Central,,EJE NORTE SUR,SUR-NORTE,PA17,14 de la Fama - A.Vespucio Norte,4.45,categoria_3,TBP,2682.52
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA18,A. Vespucio Norte - 14 de la Fama,4.45,categoria_1y4,TBFP,447.08
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA18,A. Vespucio Norte - 14 de la Fama,4.45,categoria_1y4,TBP,894.17
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA18,A. Vespucio Norte - 14 de la Fama,4.45,categoria_2,TBFP,894.17
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA18,A. Vespucio Norte - 14 de la Fama,4.45,categoria_2,TBP,1788.34
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA18,A. Vespucio Norte - 14 de la Fama,4.45,categoria_3,TBFP,1341.26
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA18,A. Vespucio Norte - 14 de la Fama,4.45,categoria_3,TBP,2682.52
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA15,14 de la Fama - Río Mapocho,4.09,categoria_1y4,TBFP,410.91
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA15,14 de la Fama - Río Mapocho,4.09,categoria_1y4,TBP,821.83
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA15,14 de la Fama - Río Mapocho,4.09,categoria_2,TBFP,821.83
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA15,14 de la Fama - Río Mapocho,4.09,categoria_2,TBP,1643.67
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA15,14 de la Fama - Río Mapocho,4.09,categoria_3,TBFP,1232.75
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA15,14 de la Fama - Río Mapocho,4.09,categoria_3,TBP,2465.5
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA14,Río Mapocho - Alameda,1.75,categoria_1y4,TBFP,175.82
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA14,Río Mapocho - Alameda,1.75,categoria_1y4,TBP,351.64
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA14,Río Mapocho - Alameda,1.75,categoria_2,TBFP,351.64
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA14,Río Mapocho - Alameda,1.75,categoria_2,TBP,703.28
Autopista Central,,EJE NORTE SUR,NORTE-SUR,PA14,Río Mapocho - Alameda,1.75,categoria_3,TBFP,527.46
