id_peaje,nombre,ruta,latitude,longitude,region,tipo,concesionaria
MOP_65,Acceso a Puerto Octay-Osorno Sur Poniente,,-40.58999999699995,-73.09815947599998,,Lateral,
MOP_66,Acceso a San Pablo,,-40.413003524999965,-73.00175817199994,,Lateral,
MOP_67,Acceso a Osorno-Puyehue Oriente,,-40.58380138799998,-73.09766624799994,,Lateral,
MOP_68,Acceso a Río Negro,,-40.80850153599994,-73.16754220499996,,Lateral,
MOP_69,Acceso a Osorno-Puyehue Poniente,,-40.57945097499993,-73.09817578899998,,Lateral,
MOP_70,Acceso a Llanquihue Centro Poniente,,-41.254727326999955,-73.02360446799997,,Lateral,
MOP_71,Lanco,,-39.44230876399996,-72.77170614199997,,Lateral,
MOP_72,Lanco Norte,,-39.48040114099996,-72.80659736299998,,Troncal,
MOP_73,Valdivia Sur,,-40.08734684799998,-72.86464389799994,,Lateral,
MOP_74,La Unión,,-40.22810434599995,-72.93878323999996,,Troncal,
MOP_75,R.Bueno-La Unión,,-40.322116781999966,-72.98679181199998,,Lateral,
MOP_76,Ruta F-90,,-33.40060577999998,-71.49743068599997,,Troncal,
MOP_77,Las Pataguas,,-33.482423051999945,-71.58169932599998,,Troncal,
MOP_78,Quilpué Poniente Norte,,-33.06146902699993,-71.45702580999995,,Lateral,
MOP_79,Quilpué Poniente Sur,,-33.06189074599996,-71.45747270799995,,Lateral,
MOP_80,Troncal Sur,,-33.06315341199996,-71.43404907699994,,Troncal,
MOP_81,Quintay,,-33.16148534399997,-71.54221887599994,,Lateral,
MOP_82,Casablanca,,-33.30552664399994,-71.41125024099995,,Lateral,
MOP_83,Tapihue,,-33.328590402999964,-71.39036537099997,,Lateral,
MOP_84,Algarrobo,,-33.34068207599995,-71.36674562599995,,Lateral,
MOP_85,La Palma  01,,-32.87549065799993,-71.23165145899998,,Lateral,
MOP_86,La Palma 02,,-32.87500572799996,-71.23075204699995,,Lateral,
MOP_87,San Isidro 01,,-32.901246457999946,-71.24579324999996,,Lateral,
MOP_88,San Isidro 02,,-32.90273320599994,-71.24939988599994,,Lateral,
MOP_89,Quillota,,-32.927392392999934,-71.28650101599999,,Lateral,
MOP_90,Quillota,,-32.93493941899993,-71.28829971999994,,Troncal,
MOP_91,Laureles 01,,-32.973243382999954,-71.30269512799998,,Lateral,
MOP_92,Laureles 02,,-32.97209831299995,-71.30098306799994,,Lateral,
MOP_93,Zapata,,-33.37113912999996,-71.29978253699994,,Troncal,
MOP_94,Troncal Nogales-Puchuncaví,,-32.75296512399996,-71.25343335099996,,Troncal,
MOP_95,Cuesta Zapata,,-33.36680657299996,-71.30859202499994,,Lateral,
MOP_96,El Melón,,-32.629603989999964,-71.23079057799998,,Troncal,
MOP_97,Las Vegas,,-32.843769452999936,-70.98909576099999,,Troncal,
MOP_98,Las Cruces,,-33.47298235599993,-71.59921120699994,,Lateral,
MOP_99,Rarinco,,-37.38869270099997,-72.36157382999994,,Lateral,
MOP_100,Los Angeles,,-37.48598705699993,-72.40442619099997,,Lateral,
MOP_101,Los Angeles,,-37.48177091399998,-72.40541533499999,,Lateral,
MOP_102,María Dolores,,-37.44277565899995,-72.39968945499999,,Lateral,
MOP_103,María Dolores,,-37.43842393999995,-72.39682563999997,,Lateral,
MOP_104,Rarinco,,-37.390954481999984,-72.36170952099997,,Lateral,
MOP_105,Cabrero,,-37.04418817099997,-72.37152864499996,,Lateral,
MOP_106,Lima,,-37.234626548999984,-72.36907532799995,,Lateral,
MOP_107,Laja,,-37.173866876999966,-72.39151832799996,,Lateral,
MOP_108,Nueva Aldea,,-36.65830183099996,-72.45790276699995,,Lateral,
MOP_109,Duqueco,,-37.53163225299994,-72.32525393399999,,Lateral,
MOP_110,Agua Amarilla,,-36.73004118899996,-72.86015717199996,,Troncal,
MOP_111,Las Maicas,,-37.806396467999946,-72.33084422499996,,Troncal,
